"Player","Pos","X3P","X3PA","X3P.","year"
"Tobias Harris","SF",7,21,0.333,"2012"
"Tobias Harris","PF",27,87,0.31,"2012"
"Spencer Hawes","C",31,87,0.356,"2012"
"Chuck Hayes","C",0,1,0,"2012"
"Gordon Hayward","SF",102,246,0.415,"2012"
"Lazar Hayward","SF",0,4,0,"2012"
"Brendan Haywood","C",0,1,0,"2012"
"Gerald Henderson","SG",33,100,0.33,"2012"
"Xavier Henry","SF",4,11,0.364,"2012"
"John Henson","PF",0,3,0,"2012"
"Roy Hibbert","C",1,4,0.25,"2012"
"J.J. Hickson","C",0,2,0,"2012"
"Cory Higgins","SG",1,5,0.2,"2012"
"Nenê","PF",0,1,0,"2012"
"George Hill","PG",130,353,0.368,"2012"
"Grant Hill*","SF",3,11,0.273,"2012"
"Jordan Hill","PF",0,2,0,"2012"
"Kirk Hinrich","PG",71,182,0.39,"2012"
"Jrue Holiday","PG",91,247,0.368,"2012"
"Justin Holiday","SG",4,16,0.25,"2012"
"Tyler Honeycutt","SF",0,2,0,"2012"
"Al Horford","C",3,6,0.5,"2012"
"Dwight Howard","C",1,6,0.167,"2012"
"Josh Howard","SF",5,16,0.313,"2012"
"Kris Humphries","PF",0,2,0,"2012"
"Serge Ibaka","PF",20,57,0.351,"2012"
"Andre Iguodala","SG",91,287,0.317,"2012"
"Ersan İlyasova","PF",95,214,0.444,"2012"
"Kyrie Irving","PG",109,279,0.391,"2012"
"Royal Ivey","SG",37,88,0.42,"2012"
"Jarrett Jack","SG",82,203,0.404,"2012"
"Reggie Jackson","PG",24,104,0.231,"2012"
"Stephen Jackson","SF",46,170,0.271,"2012"
"Bernard James","C",0,2,0,"2012"
"LeBron James","PF",103,254,0.406,"2012"
"Mike James","PG",48,125,0.384,"2012"
"Antawn Jamison","PF",84,233,0.361,"2012"
"Al Jefferson","C",2,17,0.118,"2012"
"Richard Jefferson","SF",14,45,0.311,"2012"
"Jared Jeffries","PF",0,2,0,"2012"
"Charles Jenkins","SG-PG",1,2,0.5,"2012"
"Charles Jenkins","SG",1,2,0.5,"2012"
"John Jenkins","SG",53,138,0.384,"2012"
"Brandon Jennings","PG",173,461,0.375,"2012"
"Jonas Jerebko","PF",25,83,0.301,"2012"
"Amir Johnson","PF",5,13,0.385,"2012"
"Chris Johnson","SF",6,18,0.333,"2012"
"Ivan Johnson","PF",1,13,0.077,"2012"
"James Johnson","SF",2,21,0.095,"2012"
"Joe Johnson","SG",148,395,0.375,"2012"
"Orlando Johnson","SG",36,94,0.383,"2012"
"Wesley Johnson","SF",50,155,0.323,"2012"
"Darius Johnson-Odom","SG",0,1,0,"2012"
"Dahntay Jones","SF",11,49,0.224,"2012"
"Dahntay Jones","SF",8,37,0.216,"2012"
"Dahntay Jones","SF",3,12,0.25,"2012"
"DeQuan Jones","SF",9,35,0.257,"2012"
"Dominique Jones","PG",1,9,0.111,"2012"
"James Jones","SF",16,53,0.302,"2012"
"Perry Jones","SF",0,2,0,"2012"
"Terrence Jones","PF",5,19,0.263,"2012"
"Cory Joseph","PG",6,21,0.286,"2012"
"Kris Joseph","SF",0,3,0,"2012"
"Kris Joseph","SF",0,2,0,"2012"
"Kris Joseph","SF",0,1,0,"2012"
"Chris Kaman","C",0,1,0,"2012"
"Enes Kanter","C",1,1,1,"2012"
"Jason Kidd*","SG",114,325,0.351,"2012"
"Michael Kidd-Gilchrist","SF",2,9,0.222,"2012"
"Andrei Kirilenko","SF",35,120,0.292,"2012"
"Linas Kleiza","SF",20,66,0.303,"2012"
"Brandon Knight","PG",120,327,0.367,"2012"
"Kyle Korver","SF",189,414,0.457,"2012"
"Kosta Koufos","C",0,1,0,"2012"
"Doron Lamb","SG",14,37,0.378,"2012"
"Doron Lamb","SG",4,16,0.25,"2012"
"Doron Lamb","SG",10,21,0.476,"2012"
"Jeremy Lamb","SF",9,30,0.3,"2012"
"Carl Landry","PF",1,3,0.333,"2012"
"Ty Lawson","PG",85,232,0.366,"2012"
"Courtney Lee","SG",58,156,0.372,"2012"
"David Lee","PF",0,4,0,"2012"
"Malcolm Lee","SG",8,24,0.333,"2012"
"Kawhi Leonard","SF",65,174,0.374,"2012"
"Meyers Leonard","C",3,7,0.429,"2012"
